district_id,district_name,state_name,health_subscore,education_subscore,priority_index,priority_tier,dominant_driver,institutional_births_pct,full_immunization_pct,household_sanitation_pct,health_insurance_pct,overall_literacy,pct_schools_electricity,pct_schools_water,pct_schools_road_connected,stunted_pct,wasted_pct,underweight_pct,child_anaemia_pct,dropout_rate_pct,true_pupil_teacher_ratio,literacy_gender_gap,dropout_gender_gap,toilet_gender_gap,pct_sc_population,pct_st_population,primary_pupil_teacher_ratio,predicted_tier,prediction_correct
100,SAMASTIPUR,BIHAR,23.960066555740433,35.69051580698836,29.825291181364395,Low,Education-driven,83.40,71.40,48.80,19.00,63.81,41.70,89.70,96.00,44.00,21.30,42.80,67.20,0.88,53.97,19.57,-0.24,52,18.85,0.04,2066.00,Low,true
611,BALRAMPUR,UTTAR PRADESH,15.74459234608985,34.88630061009429,25.31544647809207,Low,Education-driven,69.70,57.40,59.70,13.00,51.76,15.70,98.00,94.20,41.20,24.90,37.20,75.40,0.22,53.37,20.74,-0.07,19,12.90,1.16,1463.00,Low,true
84,KATIHAR,BIHAR,17.949251247920134,29.118136439267886,23.53369384359401,Low,Education-driven,66.90,73.70,44.60,8.40,53.56,26.10,98.60,84.60,43.90,23.50,48.10,65.60,0.82,53.22,15.62,-0.25,-26,8.57,5.86,1500.00,Low,true
74,BEGUSARAI,BIHAR,25.249584026622294,39.62839711591791,32.438990571270104,Low,Education-driven,86.00,65.80,62.20,13.20,66.23,34.00,98.90,93.40,37.80,21.00,35.60,74.50,0.80,52.58,17.26,-0.09,4,14.55,0.05,1035.00,Low,true
102,SHEIKHPURA,BIHAR,26.4351081530782,21.186910704381585,23.811009428729893,Low,Health-driven,89.20,82.80,54.20,9.70,65.96,40.30,90.20,78.30,53.60,16.30,37.60,80.10,1.63,52.31,21.21,-0.31,1,20.60,0.10,390.00,Low,true
629,GHAZIABAD,UTTAR PRADESH,53.43178036605657,67.47088186356073,60.45133111480865,Medium,Education-driven,86.40,68.50,84.50,20.00,85.00,75.30,100.00,99.10,28.20,17.10,23.40,61.80,0.41,51.87,6.74,-0.06,17,16.52,0.09,823.00,Medium,true
70,ARARIA,BIHAR,10.711314475873545,28.67443150305047,19.692872989462007,Low,Education-driven,66.20,61.60,32.20,19.50,55.10,34.60,88.80,86.20,49.90,23.90,47.80,75.80,0.67,51.77,18.97,-0.12,17,13.61,1.38,1704.00,Low,true
81,JAMUI,BIHAR,15.827787021630614,29.45091514143095,22.639351081530783,Low,Education-driven,73.40,66.40,37.60,14.30,62.16,30.70,86.60,87.50,43.00,19.40,37.50,81.90,0.67,51.6,24.33,-0.17,13,17.19,4.48,1324.00,Low,true
75,BHAGALPUR,BIHAR,19.321963394342763,36.88297282307266,28.10246810870771,Low,Education-driven,77.20,66.80,60.90,16.30,64.96,50.00,93.70,91.30,40.00,21.20,40.40,78.70,0.73,51.59,15.81,-0.25,35,10.49,2.21,1325.00,Low,true
234,GARHWA,JHARKHAND,36.148086522462556,22.046589018302836,29.097337770382694,Low,Health-driven,84.00,77.20,54.10,55.30,62.18,6.20,99.80,72.20,47.70,18.90,40.60,62.50,1.33,51.2,24.57,-0.15,23,24.19,15.56,1053.00,Low,true
72,AURANGABAD,BIHAR,23.73128119800333,29.645036051026068,26.6881586245147,Low,Education-driven,77.50,89.70,47.10,15.40,72.77,27.70,90.50,85.40,41.20,32.90,48.70,68.40,1.06,51.11,20.47,-0.14,82,24.10,0.04,1657.00,Low,true
91,MUZAFFARPUR,BIHAR,27.495840266222963,38.40820854132002,32.95202440377149,Low,Education-driven,72.50,74.90,55.20,13.20,65.68,46.50,95.90,92.70,42.60,19.90,34.70,64.60,0.80,51.03,16.79,-0.19,157,15.66,0.13,2309.00,Low,true
101,SARAN,BIHAR,15.952579034941763,36.18968386023294,26.07113144758735,Low,Education-driven,73.00,72.00,37.20,9.40,68.57,41.60,92.90,89.80,39.70,28.80,45.00,69.80,0.76,50.76,22.82,-0.24,89,12.00,0.93,1929.00,Low,true
106,SUPAUL,BIHAR,22.129783693843592,26.012201885745977,24.070992789794786,Low,Both equally,80.40,73.60,50.70,14.20,59.65,26.90,94.40,93.80,42.30,25.80,45.00,63.60,1.31,50.71,25.02,-0.19,16,15.89,0.46,1370.00,Low,true
671,SITAPUR,UTTAR PRADESH,27.12146422628952,41.458679977814754,34.290072102052136,Low,Education-driven,84.80,65.90,52.50,23.20,63.38,27.80,97.90,100.00,47.80,18.20,37.90,66.40,0.92,50.48,19.81,-0.08,30,32.26,0.04,2943.00,Low,true
93,NAWADA,BIHAR,20.96505823627288,34.1375485302274,27.55130338325014,Low,Education-driven,79.90,74.50,47.90,8.10,61.63,32.90,98.90,88.60,49.40,18.20,37.30,73.30,0.86,48.24,20.31,-0.11,-3,25.47,0.09,1210.00,Low,true
78,DARBHANGA,BIHAR,22.628951747088188,32.2240709927898,27.426511369938993,Low,Education-driven,69.90,66.30,48.70,25.30,58.26,38.10,96.60,82.50,45.40,19.30,39.20,68.90,0.65,48.04,21.70,-0.15,4,15.64,0.07,1785.00,Low,true
86,KISHANGANJ,BIHAR,18.282029950083196,26.40044370493622,22.341236827509707,Low,Education-driven,54.60,67.30,52.40,8.10,57.04,25.30,90.20,82.80,38.80,23.90,41.10,67.50,0.59,47.87,17.58,-0.21,-4,6.69,3.80,1195.00,Low,true
660,PRATAPGARH,UTTAR PRADESH,47.1089850249584,42.041042706600116,44.575013865779255,Medium,Health-driven,90.80,75.00,52.00,14.90,73.10,29.20,98.70,93.70,35.50,10.00,27.70,58.00,0.83,47.55,24.30,-0.12,40,22.10,0.02,1739.00,Medium,true
87,LAKHISARAI,BIHAR,13.955906821963397,31.780366056572376,22.868136439267886,Low,Education-driven,75.80,68.90,51.60,15.10,64.95,35.00,83.10,86.00,42.70,25.60,45.10,77.20,0.57,47.51,19.09,-0.12,3,15.31,0.83,552.00,Low,true
670,SIDDHARTHNAGAR,UTTAR PRADESH,16.430948419301167,32.00221852468109,24.21658347199113,Low,Education-driven,69.70,65.10,42.80,12.20,61.81,33.30,98.00,96.10,37.20,24.80,36.30,75.80,1.48,47.47,24.18,-0.37,28,15.97,0.47,1871.00,Low,true
250,SAHIBGANJ,JHARKHAND,19.592346089850253,14.864115363283416,17.228230726566835,Low,Both equally,64.70,66.00,43.20,34.80,53.73,8.80,84.50,47.70,49.10,19.70,44.80,72.60,0.95,47.3,18.34,-0.01,10,6.29,26.80,932.00,Low,true
77,BUXAR,BIHAR,22.400166389351085,34.3871325568497,28.393649473100393,Low,Education-driven,89.50,75.00,52.40,11.40,71.77,37.30,94.80,77.70,39.60,33.20,45.30,68.30,0.78,46.86,22.94,-0.26,11,14.75,1.57,784.00,Low,true
609,BAHRAICH,UTTAR PRADESH,18.21963394342762,33.58291735995564,25.901275651691627,Low,Education-driven,67.70,51.80,44.20,10.10,51.10,22.50,98.00,90.00,52.10,14.40,38.00,71.70,0.42,46.78,19.47,-0.12,40,14.60,0.32,2462.00,Low,true
83,KAIMUR (BHABUA),BIHAR,25.727953410981698,29.25679423183583,27.492373821408762,Low,Both equally,83.30,88.90,59.10,18.10,71.01,36.30,95.60,79.20,44.10,27.30,47.20,71.40,1.29,46.65,21.93,-0.43,51,22.69,3.57,777.00,Low,true
99,SAHARSA,BIHAR,18.011647254575706,20.854132002218524,19.432889628397113,Low,Both equally,70.40,72.20,40.50,12.80,54.57,35.30,91.70,80.10,47.80,20.50,42.70,69.30,1.31,46.51,22.49,-0.41,25,16.69,0.32,915.00,Low,true
608,BAGHPAT,UTTAR PRADESH,60.960898502495844,60.39933444259568,60.68011647254576,Medium,Both equally,80.90,83.90,87.00,12.50,73.54,69.30,100.00,98.20,25.50,10.30,26.00,60.20,0.43,45.71,22.95,0.02,20,11.44,0.00,494.00,Medium,true
90,MUNGER,BIHAR,28.556572379367722,32.97282307265668,30.7646977260122,Low,Both equally,93.20,73.40,62.80,15.20,73.30,25.20,99.70,76.60,35.50,26.70,39.50,74.30,1.20,45.61,14.53,-0.16,4,13.44,1.57,718.00,Low,true
662,RAMPUR,UTTAR PRADESH,38.415141430948424,42.65113699389905,40.533139212423734,Medium,Both equally,81.00,79.40,79.00,13.10,55.08,40.00,98.90,96.30,40.40,17.60,32.10,69.60,0.59,45.6,16.91,-0.26,18,13.18,0.02,1472.00,Medium,true
245,PALAMU,JHARKHAND,34.83777038269551,24.12645590682196,29.482113144758735,Low,Health-driven,74.90,80.90,46.30,55.80,65.50,6.70,92.40,39.40,43.70,18.40,37.30,68.20,0.51,45.26,22.40,-0.13,125,27.65,9.34,1799.00,Low,true
659,PILIBHIT,UTTAR PRADESH,43.198835274542425,48.47476428175264,45.83679977814754,Medium,Education-driven,76.20,92.30,76.80,21.40,63.58,42.50,99.90,99.30,38.90,20.10,39.40,57.30,0.92,44.81,21.03,0.09,22,16.42,0.08,1330.00,Medium,true
665,SANT KABIR NAGAR,UTTAR PRADESH,36.044093178036604,45.06378258458125,40.553937881308926,Medium,Education-driven,90.60,80.20,65.10,20.40,69.01,35.40,97.20,98.10,42.30,19.00,34.20,71.60,0.75,44.27,23.73,-0.13,32,21.52,0.09,819.00,Medium,true
71,ARWAL,BIHAR,21.401830282861894,28.50804215196894,24.954936217415415,Low,Education-driven,79.20,84.20,43.40,15.60,69.54,31.20,94.80,76.00,45.60,36.80,52.90,65.80,1.05,44.18,24.42,-0.41,19,20.16,0.08,348.00,Low,true
107,VAISHALI,BIHAR,22.358569051580698,46.11758180809761,34.23807542983916,Low,Education-driven,81.60,71.00,52.60,13.50,68.56,39.60,99.70,92.90,38.30,19.60,38.40,77.10,0.66,43.87,17.90,-0.19,18,21.12,0.07,1395.00,Low,true
669,SHRAWASTI,UTTAR PRADESH,22.19217970049917,28.25845812534664,25.225318912922905,Low,Education-driven,80.40,59.60,58.10,13.50,49.13,12.70,96.10,94.20,50.90,20.30,40.80,61.20,0.91,43.21,22.48,0.05,13,16.95,0.50,924.00,Low,true
654,MAU,UTTAR PRADESH,45.40349417637271,47.03272323904603,46.21810870770937,Medium,Both equally,94.70,59.10,75.10,16.00,75.16,46.80,99.30,86.30,25.40,21.20,30.30,62.70,0.63,43.19,19.02,-0.06,35,21.51,1.04,831.00,Medium,true
95,PATNA,BIHAR,25.457570715474212,43.78813089295618,34.6228508042152,Low,Education-driven,89.10,56.60,61.00,10.20,72.47,50.80,96.10,91.70,34.50,27.50,39.60,65.40,0.71,43.14,16.56,-0.17,45,15.77,0.16,2234.00,Low,true
98,ROHTAS,BIHAR,29.970881863560734,40.07210205213533,35.02149195784803,Low,Education-driven,89.10,86.80,69.00,17.20,75.59,42.30,97.40,84.50,40.00,31.80,48.20,70.30,0.93,42.3,20.34,-0.21,18,18.57,1.07,1429.00,Low,true
76,BHOJPUR,BIHAR,17.24209650582363,37.79811425402107,27.52010537992235,Low,Education-driven,86.90,61.90,45.90,9.60,72.79,25.40,97.50,87.20,40.70,31.30,44.00,67.70,0.75,42.25,23.88,-0.23,102,15.59,0.51,1200.00,Low,true
646,KUSHINAGAR,UTTAR PRADESH,37.89517470881863,40.23849140321686,39.06683305601774,Medium,Both equally,89.40,65.40,73.10,15.60,67.66,31.90,97.20,96.30,32.20,24.30,36.60,52.80,0.87,42.16,25.36,-0.27,36,15.27,2.25,2215.00,Medium,true
236,GODDA,JHARKHAND,22.3585690515807,13.17249029395452,17.76552967276761,Low,Health-driven,70.20,63.90,54.90,45.90,57.68,8.20,84.30,61.70,39.40,24.50,40.70,75.10,1.22,42.13,24.66,-0.41,-5,8.80,21.26,935.00,Low,true
615,BASTI,UTTAR PRADESH,36.60565723793677,48.114254021075986,42.35995562950637,Medium,Education-driven,93.20,73.80,64.20,15.80,69.69,52.10,100.00,96.90,35.90,24.20,39.20,58.40,1.17,41.7,22.30,-0.66,56,20.86,0.15,1457.00,Medium,true
235,GIRIDIH,JHARKHAND,36.00249584026622,23.68275097060455,29.842623405435383,Low,Health-driven,70.70,70.60,59.20,52.40,65.12,21.10,95.50,48.90,31.90,27.80,34.30,62.80,0.97,41.66,28.75,-0.24,17,13.31,9.74,2101.00,Low,true
617,BUDAUN,UTTAR PRADESH,22.462562396006653,40.626733222407104,31.54464780920688,Low,Education-driven,72.30,69.50,69.70,13.60,52.91,32.10,99.20,97.30,51.80,18.20,43.00,72.20,0.80,41.1,20.63,-0.19,27,16.91,0.00,1917.00,Low,true
232,DHANBAD,JHARKHAND,51.03993344425957,36.55019412090959,43.79506378258458,Medium,Health-driven,78.80,66.10,67.60,45.70,75.71,31.10,93.80,67.00,27.00,14.00,25.10,66.50,0.54,40.82,20.98,-0.16,26,16.29,8.68,911.00,Medium,true
242,LATEHAR,JHARKHAND,32.23793677204659,22.074320576816415,27.1561286744315,Low,Health-driven,70.30,75.00,51.40,52.20,61.23,6.10,93.70,34.20,40.10,19.20,39.40,68.30,0.63,40.71,21.54,-0.17,0,21.31,45.54,707.00,Low,true
80,GOPALGANJ,BIHAR,38.85191347753744,32.88962839711592,35.87077093732668,Low,Health-driven,85.90,75.80,60.10,12.70,67.04,41.70,91.90,82.70,34.20,21.50,29.20,56.10,0.80,40.56,22.35,-0.20,24,12.49,2.37,1062.00,Medium,false
635,HARDOI,UTTAR PRADESH,18.406821963394343,44.31503050471437,31.360926234054357,Low,Education-driven,73.90,63.30,55.70,16.00,68.89,22.80,99.60,92.60,44.50,22.30,33.00,76.10,0.23,40.54,18.03,-0.05,35,31.14,0.01,2927.00,Low,true
614,BAREILLY,UTTAR PRADESH,35.62811980033278,47.39323349972269,41.51067665002773,Medium,Education-driven,75.10,70.50,79.70,18.70,60.52,33.30,98.50,99.20,45.90,15.40,35.20,67.70,0.32,40.44,19.12,-0.08,36,12.53,0.07,2261.00,Medium,true
667,SHAHJAHANPUR,UTTAR PRADESH,27.807820299500833,39.93344425956739,33.87063227953411,Low,Education-driven,63.30,76.50,69.20,14.20,61.61,32.00,99.10,95.20,44.50,17.00,34.70,75.40,0.83,40.32,18.36,-0.11,20,17.72,0.02,2063.00,Low,true
645,KHERI,UTTAR PRADESH,33.21547420965059,37.52079866888519,35.368136439267886,Low,Both equally,82.80,69.50,65.60,22.00,62.71,29.70,99.00,97.00,47.60,15.80,36.30,66.30,1.17,40.28,18.96,-0.28,30,26.40,1.33,2589.00,Low,true
661,RAE BARELI,UTTAR PRADESH,32.196339434276204,46.17304492512479,39.1846921797005,Medium,Education-driven,89.50,71.40,55.00,16.80,69.04,41.40,98.00,93.80,47.00,13.00,28.80,76.40,0.45,40,21.33,-0.11,35,30.26,0.05,1454.00,Medium,true
672,SONBHADRA,UTTAR PRADESH,28.494176372712147,38.380476982806435,33.43732667775929,Low,Education-driven,76.80,72.70,70.60,19.70,66.18,20.20,95.10,94.00,38.30,26.80,46.50,63.00,0.30,39.93,23.08,-0.09,11,22.64,20.67,1653.00,Low,true
92,NALANDA,BIHAR,14.78785357737105,33.55518580144204,24.171519689406548,Low,Education-driven,80.30,75.20,52.50,12.80,66.41,41.80,94.00,80.30,42.60,27.80,46.70,80.30,0.76,39.24,22.35,-0.17,-171,21.12,0.05,1097.00,Low,true
231,DEOGHAR,JHARKHAND,25.478369384359404,22.906267332224072,24.192318358291736,Low,Both equally,61.30,54.50,41.60,53.80,66.34,15.50,98.40,60.30,41.70,17.70,36.90,73.90,1.23,39.03,26.74,-0.31,14,12.74,12.13,1091.00,Low,true
105,SIWAN,BIHAR,34.8377703826955,34.165280088740985,34.50152523571825,Low,Both equally,86.40,76.10,47.70,8.20,71.59,28.10,96.00,90.00,36.70,18.20,30.80,63.90,1.11,38.87,22.42,-0.38,8,11.61,2.61,1093.00,Low,true
642,KANPUR NAGAR,UTTAR PRADESH,36.25207986688852,64.58679977814752,50.41943982251802,Medium,Education-driven,86.60,72.80,77.50,16.10,81.31,46.10,100.00,99.50,34.60,21.40,27.80,76.30,0.54,38.84,8.18,-0.13,43,17.83,0.08,1310.00,Medium,true
628,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,55.55324459234609,61.03716028840821,58.29520244037715,Medium,Education-driven,86.60,68.20,74.00,23.80,82.20,81.20,99.40,96.50,25.50,12.00,21.90,62.90,0.52,38.84,17.45,-0.09,24,13.11,0.13,612.00,Medium,true
619,CHANDAULI,UTTAR PRADESH,40.765391014975044,51.38657792567943,46.07598447032724,Medium,Education-driven,86.20,70.60,66.70,28.10,73.86,42.10,99.00,96.60,39.50,17.40,29.90,64.60,0.73,38.27,20.51,-0.14,36,22.88,2.14,1028.00,Medium,true
82,JEHANABAD,BIHAR,21.651414309484196,28.369384359401,25.010399334442596,Low,Education-driven,89.10,70.30,45.50,13.20,68.27,37.90,99.30,84.40,41.30,36.60,51.70,61.90,2.32,37.68,23.06,-0.77,19,19.81,0.11,487.00,Low,true
246,PASHCHIMI SINGHBHUM,JHARKHAND,22.379367720465893,13.449805879090405,17.91458679977815,Low,Health-driven,67.90,87.00,37.70,46.70,59.54,8.40,91.00,45.50,60.60,30.50,62.40,73.30,1.37,37.35,25.17,-0.18,87,3.79,67.32,1196.00,Low,true
656,MIRZAPUR,UTTAR PRADESH,44.32196339434277,45.341098169717135,44.83153078202995,Medium,Both equally,91.10,68.30,72.30,15.00,70.38,31.60,98.90,96.30,43.40,12.50,27.60,59.80,0.79,37.11,22.06,-0.20,27,26.48,0.81,1663.00,Medium,true
346,SINGRAULI,MADHYA PRADESH,36.75124792013311,22.795341098169715,29.773294509151413,Low,Health-driven,69.90,76.90,52.60,58.50,62.36,16.60,88.80,86.70,37.30,25.20,36.00,56.60,1.11,37.09,23.94,-0.28,-81,12.79,32.59,881.00,Low,true
620,CHITRAKOOT,UTTAR PRADESH,23.27371048252912,38.10316139767055,30.688435940099833,Low,Education-driven,81.10,63.70,56.70,17.40,66.52,37.90,96.10,93.10,47.50,24.80,41.80,55.30,0.90,36.97,23.39,-0.20,13,26.89,0.04,818.00,Low,true
630,GHAZIPUR,UTTAR PRADESH,22.358569051580698,48.86300610094287,35.610787576261785,Low,Education-driven,88.30,60.80,64.10,10.60,74.27,39.70,99.20,96.00,39.30,25.70,38.30,71.60,0.90,36.94,23.48,-0.31,59,20.07,0.79,2515.00,Low,true
637,JAUNPUR,UTTAR PRADESH,39.60066555740433,53.799223516361614,46.69994453688297,Medium,Education-driven,88.80,75.10,62.60,12.00,73.66,34.60,99.00,97.90,40.50,14.80,30.30,65.30,0.36,36.81,24.36,-0.06,61,22.04,0.11,2580.00,Medium,true
25,LONGDING,ARUNACHAL PRADESH,54.970881863560734,14.143094841930116,34.55698835274543,Low,Health-driven,64.50,52.70,83.50,23.80,null,24.00,74.00,86.00,15.80,20.60,13.80,38.40,1.88,36.54,null,-0.45,4,null,null,54.00,Medium,false
603,ALLAHABAD,UTTAR PRADESH,38.12396006655574,50.16638935108153,44.14517470881863,Medium,Education-driven,83.20,55.80,59.50,20.60,74.41,38.30,99.10,96.90,37.90,15.10,32.60,50.50,0.86,36.48,22.33,-0.30,67,22.00,0.13,2177.00,Medium,true
243,LOHARDAGA,JHARKHAND,37.85357737104826,16.472545757071547,27.163061564059902,Low,Health-driven,84.10,88.20,67.70,58.90,68.29,10.70,92.10,44.70,40.70,26.60,43.40,68.70,1.52,36.33,20.76,-0.25,9,3.32,56.90,348.00,Low,true
650,MAHOBA,UTTAR PRADESH,33.02828618968386,43.4830837493067,38.25568496949528,Medium,Education-driven,96.30,70.70,69.00,16.20,66.94,61.70,100.00,98.90,42.30,25.00,33.40,70.10,2.53,36.24,23.07,-0.28,-1,25.22,0.07,555.00,Medium,true
607,AZAMGARH,UTTAR PRADESH,46.58901830282862,52.07986688851913,49.33444259567388,Medium,Education-driven,93.20,64.50,72.80,9.00,72.69,34.70,99.70,96.00,33.40,14.40,28.00,58.90,0.51,36.17,20.43,-0.12,98,25.39,0.20,2128.00,Medium,true
230,CHATRA,JHARKHAND,33.23627287853577,15.058236272878537,24.147254575707155,Low,Health-driven,71.50,71.70,48.10,46.50,62.14,5.80,93.90,33.00,42.20,17.20,39.80,62.60,1.36,36.14,19.94,-0.45,10,32.66,4.37,968.00,Low,true
601,AGRA,UTTAR PRADESH,39.64226289517471,53.161397670549086,46.401830282861894,Medium,Education-driven,89.10,74.10,70.80,9.40,69.44,59.90,98.90,97.80,35.90,16.40,26.20,73.00,0.50,36.12,19.16,-0.17,46,22.43,0.16,1732.00,Medium,true
632,GORAKHPUR,UTTAR PRADESH,38.2071547420965,51.41430948419301,44.81073211314475,Medium,Education-driven,91.60,67.70,69.60,17.90,73.25,40.70,99.30,95.70,29.60,23.30,33.70,67.40,0.63,36.08,22.84,-0.12,60,21.08,0.41,1770.00,Medium,true
612,BANDA,UTTAR PRADESH,13.519134775374376,43.78813089295618,28.65363283416528,Low,Education-driven,89.80,62.90,59.30,13.30,68.11,28.40,100.00,92.80,51.00,25.70,49.80,82.20,0.87,36,24.43,-0.21,24,21.56,0.01,1045.00,Low,true
653,MATHURA,UTTAR PRADESH,42.63727121464226,47.61508596783139,45.12617859123682,Medium,Both equally,79.50,73.60,71.20,10.80,72.65,54.90,95.50,92.80,31.60,11.00,21.30,77.20,0.49,35.42,25.46,-0.13,20,19.89,0.06,947.00,Medium,true
241,KODARMA,JHARKHAND,47.42096505823628,33.77703826955075,40.59900166389352,Medium,Health-driven,91.30,73.80,54.00,56.80,68.35,17.00,93.50,97.00,34.60,18.00,31.70,60.00,1.14,35.22,26.48,-0.37,6,15.22,0.96,417.00,Medium,true
631,GONDA,UTTAR PRADESH,32.425124792013314,32.88962839711592,32.65737659456462,Low,Both equally,81.80,59.90,44.60,13.40,61.16,25.10,98.90,88.90,45.90,12.10,28.00,62.00,0.92,35.16,23.10,-0.23,44,15.49,0.03,2347.00,Low,true
321,INDORE,MADHYA PRADESH,57.79950083194675,52.93954520244039,55.36952301719357,Medium,Both equally,96.50,84.60,90.00,40.30,82.32,59.30,96.50,96.40,28.70,21.20,24.90,78.80,0.87,35.05,14.31,-0.16,31,16.64,6.64,962.00,Medium,true
644,KAUSHAMBI,UTTAR PRADESH,31.738768718802,33.832501386577924,32.78563505268996,Low,Both equally,88.60,65.70,59.60,20.20,63.69,49.40,96.30,98.10,40.20,18.30,36.80,65.50,2.29,34.98,24.59,-0.64,20,34.72,0.01,869.00,Low,true
682,HARDWAR,UTTARAKHAND,51.51830282861897,55.962285080421516,53.74029395452024,Medium,Both equally,79.80,76.50,69.80,46.60,74.62,87.10,98.30,94.40,31.10,16.40,27.00,63.10,0.32,34.82,16.30,-0.13,104,21.76,0.33,638.00,Medium,true
141,AHMADABAD,GUJARAT,46.734608985024956,72.04658901830283,59.39059900166389,Medium,Education-driven,94.50,65.20,86.40,36.20,86.65,100.00,100.00,99.00,35.50,17.50,34.00,72.00,0.80,34.52,12.15,-0.22,24,10.53,1.24,597.00,Medium,true
383,THANE,MAHARASTRA,43.635607321131445,63.39434276206322,53.51497504159733,Medium,Education-driven,93.60,74.90,74.70,22.70,86.18,90.60,100.00,97.70,40.80,17.80,30.80,67.90,1.01,34.29,10.12,-0.24,23,6.60,13.95,947.00,Medium,true
655,MEERUT,UTTAR PRADESH,59.151414309484196,57.90349417637271,58.52745424292846,Medium,Both equally,80.60,82.50,82.70,18.40,74.80,74.20,98.60,99.80,32.10,10.20,23.70,55.20,0.81,34.29,17.22,-0.05,46,18.12,0.10,1062.00,Medium,true
239,JAMTARA,JHARKHAND,29.242928452579037,31.114808652246257,30.178868552412645,Low,Both equally,75.40,78.80,52.80,62.90,63.73,25.40,99.20,72.10,41.90,23.00,46.20,72.80,0.89,34.22,26.77,-0.20,5,9.21,30.40,387.00,Low,true
349,UMARIA,MADHYA PRADESH,38.4567387687188,33.99889073765945,36.22781475318912,Medium,Both equally,92.20,90.60,53.70,19.90,67.34,24.40,97.40,90.20,45.30,15.50,36.60,71.50,0.97,34.2,22.04,-0.27,3,9.02,46.64,361.00,Medium,true
374,PALGHAR,MAHARASTRA,44.86272878535774,45.31336661120355,45.08804769828065,Medium,Both equally,94.20,94.00,75.10,18.80,null,82.60,99.90,97.10,33.00,23.90,37.10,70.30,1.07,34.12,null,-0.20,10,null,null,765.00,Medium,true
643,KANSHIRAM NAGAR,UTTAR PRADESH,22.50415973377704,44.2318358291736,33.36799778147532,Low,Education-driven,74.80,69.20,69.80,15.10,62.30,32.70,99.30,94.10,45.10,19.30,35.50,80.80,0.49,34.07,22.71,-0.14,15,17.70,0.01,987.00,Low,true
